name,price
Python编程 从入门到实践 python核心编程基础教程书籍 从入门到精通,65.00
机器学习实战 python基础教程指南 +机器学习 套装共两册  (美)哈林顿,119.00
Python程序设计基础(上海市高等学校计算机等级考试二级推荐教材普通高等教育十三五,23.06
Python轻松学：爬虫、游戏与架站,49.60
python编程从入门到精通 Python基础教程 精通计算机程序设计,52.80
包邮 小天才学Python 一本专为小学生编写的Python编程教材书籍 刘思成 刘鹏 朱慧 著,27.80
Python编程 从入门到实践 python核心编程基础教程书籍 从入门到精通书籍,52.80
官方正版 Python基础教程 十二五规划教材 人民邮电出版社 计算机编程语言与程序设计,34.20
包邮 自动化平台测试开发 Python测试开发实战+Web接口开发与自动化测试 基于Python语言,87.80
包邮  Python程序设计案例教程 从入门到机器学习 微课版  清华大学出版社 600分钟视频讲解,37.80
量化交易之路 用Python做股票量化分析 计算机网络 程序设计 投资理财 证券股票金融,63.90
包邮 图解算法 使用Python+图解数据结构 使用Python书籍 2本 吴灿铭,92.60
Python算法教程,49.70
Python编程入门 (第3版 ),28.10
高教版 2019全国计算机等级考试二级教程 Python语言程序设计+冲刺试卷+公共基础知 共三本,73.50
Python面向对象编程指南,56.90
Python网络编程(第3版),56.90
跟老齐学Python,43.00
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python y,95.60
Python大战机器学习,50.70
Python基础教程 第3版 图灵程序设计丛书 编程新手入门 软件工具 python,62.00
python学习手册 python机器学习实践 测试驱动的开发方法 python基础入门,138.80
Python贝叶斯分析,49.70
量化投资: 以Python为工具+零起点Python大数据与量化交易,198.00
物联网Python开发实战物联网组成架构应用技术教程书籍micropython进行物联,49.50
知识网络与合作网络的关系——基于Python编程,46.50
现货包邮 高教版2019年全国计算机等级考试二级Python语言程序设计冲刺试卷第2版+公共基础知识,54.60
包邮Python黑客攻防入门+利用Python开源工具分析恶意代码,118.00
Python自然语言处理（影印版）,83.70
Python项目案例开发从入门到实战 爬虫、游戏和机器学习书籍 郑秋生,55.00
包邮 Python Linux系统管理与自动化运维 计算机与互联网 书箱|6550978,60.50
包邮 Python网络数据爬取及分析从入门到精通 分析篇+爬取篇 Python3数据分析与挖掘书,88.80
